"","table","column","description"
"1","Census","CensusID","Primary key, an integer  automatically generated to uniquely identify a census."
"2","Census","PlotID","Foreign Key to Site table."
"3","Census","PlotCensusNumber","Integer census number for an individual plot, 1=first census, 2=second census, etc. If there are more than one plot in the database, each one has a census 1. "
"4","Census","StartDate","Date on which the first measurement of the census was taken."
"5","Census","EndDate","Date on which the last measurement of the census was taken."
"6","Census","Description","Notes pertinent to the census or general description of the conditions prevailing at the time."
"7","CensusQuadrat","CensusID","Foreign Key to Census table."
"8","CensusQuadrat","QuadratID","Foreign Key to Quadrat table."
"9","CensusQuadrat","CensusQuadratID","Primary key, an integer automatically generated to uniquely identify combination of census and quadrat."
"10","Coordinates","CoorID","Primary key, an integer automatically generated to uniquely identify each record."
"11","Coordinates","FeatureID","Foreign key to Feature table. This is only filled if the coordinate is a vertex of a feature.  "
"12","Coordinates","PlotID","Foreign key to Site table.  This is only filled if the coordinate is a vertex of a plot."
"13","Coordinates","QuadratID","Foreign key to Quadrat table. This is only filled if the coordinate is a vertex of a quadrat."
"14","Coordinates","GX","Global coordinate on the X-axis (longitude or UTM easting) "
"15","Coordinates","GY","Global coordinate on the Y-axis (latitude or UTM northing)"
"16","Coordinates","GZ","Global elevation (ie from sea level) of the point"
"17","Coordinates","PX","Distance from the plot origin (lower left corner) in meters on the X axis."
"18","Coordinates","PY","Distance from the plot origin (lower left corner) in meters on the Y axis."
"19","Coordinates","PZ","Elevation of the point in the plot (relative to plot origin's elevation)"
"20","Coordinates","QX","Distance from the lower left corner of the quadrat in meters on the X axis."
"21","Coordinates","QY","Distance from the lower left corner of the quadrat in meters on the Y axis."
"22","Coordinates","QZ","Elevation of the point in the quadrat (relative to quadrat origin's elevation)"
"23","Coordinates","CoordinateNo","Uniquely identifies the coordinate in the case that more than one point was measured in the plot, feature, or quadrat, and gives order needed for drawing a map of the feature"
"24","Country","CountryID","Primary key, an integer  automatically generated to uniquely identify a country.  "
"25","Country","CountryName","Country name"
"26","CurrentObsolete","SpeciesID","Foreign key to Species table, indicating the new and correct species name.  "
"27","CurrentObsolete","ObsoleteSpeciesID","Foreign key to Species table, indicating the incorrect and thus obsolete species name."
"28","CurrentObsolete","ChangeDate","Date on which data change was made.  "
"29","CurrentObsolete","ChangeCodeID","Foreign key to TreeTaxChange table, referring to a tree taxonomic change code.   "
"30","CurrentObsolete","ChangeNote","Descriptive reason for the change of species."
"31","DataCollection","CensusID","Foreign Key to Census table."
"32","DataCollection","StartDate","Date on which the first measurement  was taken by collector in a quadrat."
"33","DataCollection","EndDate","Date on which last measurement was taken by collector in a quadrat  (format is yyyy-mm-dd).  "
"34","DataCollection","DataCollectionID","Primary key, an integer automatically generated to uniquely identify each data collection record."
