"","treeID","stemID","tag","StemTag","sp","quadrat","gx","gy","MeasureID","CensusID","dbh","pom","hom","ExactDate","DFstatus","codes","countPOM","status","date"
"1",46,46,"100001","100001","PSYBRA","921",164.35,415.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"2",47,47,"100008","100002","PSYBRA","921",164.93,416,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",NA
"3",47,48,"100008","100003","PSYBRA","921",164.93,416,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",NA
"4",47,49,"100008","100004","PSYBRA","921",164.93,416,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",NA
"5",47,50,"100008","100005","PSYBRA","921",164.93,416,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",NA
"6",47,51,"100008","100006","PSYBRA","921",164.93,416,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",NA
"7",47,52,"100008","100007","PSYBRA","921",164.93,416,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",NA
"8",47,53,"100008","100008","PSYBRA","921",164.93,416,617069,6,NA,NA,NA,2016-08-04,"dead","MAIN;DEADT;B",1,"D",20670
"9",47,54,"100008","100009","PSYBRA","921",164.93,416,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",NA
"10",47,55,"100008","100010","PSYBRA","921",164.93,416,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",NA
"11",49,57,"100011","100011","PSYBRA","921",164.13,416.64,617070,6,NA,NA,NA,2016-08-04,"broken below","MAIN;A;LS;B",1,"G",20670
"12",49,58,"100011","100012","PSYBRA","921",164.13,416.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",NA
"13",49,59,"100011","100013","PSYBRA","921",164.13,416.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",NA
"14",50,60,"100016","100014","PSYBRA","921",165.12,417.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",NA
"15",50,61,"100016","100015","PSYBRA","921",165.12,417.98,617115,6,NA,NA,NA,2016-08-04,"stem dead","SPROUT;LS",1,"G",20670
"16",50,62,"100016","100016","PSYBRA","921",165.12,417.98,617116,6,NA,NA,NA,2016-08-04,"broken below","MAIN;A;LS;B",1,"G",20670
"17",51,63,"100017","100017","PSYBRA","921",165.17,417.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"18",54,68,"100021","100021","PSYBRA","921",163.65,419.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"19",56,70,"100023","100023","BYRSPI","921",165.93,419.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"20",57,71,"100024","100024","PSYBER","921",165.85,419.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"21",60,74,"100027","100027","PSYBRA","921",165.21,419.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"22",60,75,"100027","100028","PSYBRA","921",165.21,419.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",NA
"23",64,83,"100039","100035","PSYBRA","921",164.46,419.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",NA
"24",64,84,"100039","100036","PSYBRA","921",164.46,419.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",NA
"25",64,85,"100039","100037","PSYBRA","921",164.46,419.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",NA
"26",64,86,"100039","100038","PSYBRA","921",164.46,419.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",NA
"27",64,87,"100039","100039","PSYBRA","921",164.46,419.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"28",67,90,"100041","100041","CORBOR","921",162.95,419.64,617071,6,32.3,"1.3",1.3,2016-08-04,"alive","MAIN;A",1,"A",20670
"29",67,91,"100041","100042","CORBOR","921",162.95,419.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",NA
"30",67,92,"100041","100043","CORBOR","921",162.95,419.64,617072,6,37.4,"1.3",1.3,2016-08-04,"alive","SPROUT;A",1,"A",20670
"31",69,94,"100045","100045","TABHET","921",164.3,417.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"32",78,105,"100055","100055","PSYBRA","921",162.17,415.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"33",78,106,"100055","100056","PSYBRA","921",162.17,415.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",NA
"34",78,107,"100055","100057","PSYBRA","921",162.17,415.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",NA
"35",78,108,"100055","100058","PSYBRA","921",162.17,415.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",NA
"36",81,111,"100060","100060","SCHMOR","921",160.93,417.02,617073,6,NA,NA,NA,2016-08-04,"dead","MAIN;DEADT",1,"D",20670
"37",82,112,"100061","100061","CASSYL","921",160.51,415.97,617074,6,53,"1.3",1.3,2016-08-04,"alive","MAIN;A",1,"A",20670
"38",85,115,"100064","100064","MANBID","921",160.57,418.04,617075,6,111,"1.3",1.3,2016-08-04,"alive","MAIN;A",1,"A",20670
"39",86,116,"100066","100065","PSYBRA","921",160.71,414.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",NA
"40",86,117,"100066","100066","PSYBRA","921",160.71,414.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"41",86,118,"100066","100067","PSYBRA","921",160.71,414.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",NA
"42",86,119,"100066","100068","PSYBRA","921",160.71,414.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",NA
"43",86,120,"100066","100069","PSYBRA","921",160.71,414.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",NA
"44",86,121,"100066","100080","PSYBRA","921",160.71,414.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",NA
"45",86,122,"100066","100081","PSYBRA","921",160.71,414.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",NA
"46",88,124,"100070","100070","PSYBER","921",161.42,417.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"47",90,126,"100072","100072","PALRIP","921",161.53,418.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"48",92,129,"100076","100075","PSYBRA","921",162.52,414.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",NA
