"","treeID","stemID","tag","StemTag","sp","quadrat","gx","gy","MeasureID","CensusID","dbh","pom","hom","ExactDate","DFstatus","codes","nostems","status","date"
"1",46,NA,"100001",NA,"PSYBRA","921",164.35,415.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"2",47,53,"100008","100008","PSYBRA","921",164.93,416,617069,6,NA,NA,NA,2016-08-04,"dead","MAIN;DEADT;B",1,"D",20670
"3",49,57,"100011","100011","PSYBRA","921",164.13,416.64,617070,6,NA,NA,NA,2016-08-04,"broken below","MAIN;A;LS;B",1,"A",20670
"4",50,165123,"100016","178258","PSYBRA","921",165.12,417.98,618386,6,11.1,"1.3",1.3,2016-08-04,"alive","SPROUT;A",3,"A",20670
"5",51,NA,"100017",NA,"PSYBRA","921",165.17,417.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"6",54,NA,"100021",NA,"PSYBRA","921",163.65,419.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"7",56,NA,"100023",NA,"BYRSPI","921",165.93,419.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"8",57,NA,"100024",NA,"PSYBER","921",165.85,419.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"9",60,NA,"100027",NA,"PSYBRA","921",165.21,419.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"10",64,NA,"100039",NA,"PSYBRA","921",164.46,419.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"11",67,92,"100041","100043","CORBOR","921",162.95,419.64,617072,6,37.4,"1.3",1.3,2016-08-04,"alive","SPROUT;A",2,"A",20670
"12",69,NA,"100045",NA,"TABHET","921",164.3,417.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"13",78,NA,"100055",NA,"PSYBRA","921",162.17,415.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"14",81,111,"100060","100060","SCHMOR","921",160.93,417.02,617073,6,NA,NA,NA,2016-08-04,"dead","MAIN;DEADT",1,"D",20670
"15",82,112,"100061","100061","CASSYL","921",160.51,415.97,617074,6,53,"1.3",1.3,2016-08-04,"alive","MAIN;A",3,"A",20670
"16",85,115,"100064","100064","MANBID","921",160.57,418.04,617075,6,111,"1.3",1.3,2016-08-04,"alive","MAIN;A",1,"A",20670
"17",86,NA,"100066",NA,"PSYBRA","921",160.71,414.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"18",88,NA,"100070",NA,"PSYBER","921",161.42,417.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"19",90,NA,"100072",NA,"PALRIP","921",161.53,418.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"20",92,130,"100076","100076","PSYBRA","921",162.52,414.66,617057,6,NA,NA,NA,2016-08-04,"broken below","MAIN;A;LS;B",1,"A",20670
"21",102,141,"100088","100088","SCHMOR","921",162.92,410.83,617058,6,140,"1.15",1.15,2016-08-04,"alive","MAIN;A",1,"A",20670
"22",111,150,"100098","100098","CECSCH","921",162.06,410.17,617059,6,127,"1.3",1.32,2016-08-04,"alive","MAIN;A",1,"A",20670
"23",115,154,"100100","100100","CECSCH","921",162.77,410.09,617060,6,299,"1.7",1.72,2016-08-04,"alive","MAIN;A",1,"A",20670
"24",116,155,"100101","100101","OCOLEU","1021",183.72,411.56,578695,6,NA,NA,NA,2016-08-04,"broken below","MAIN;A;LS;B",1,"A",20670
"25",119,158,"100104","100104","MYRSPL","1021",182.89,410.15,578696,6,44.9,"1.25",1.26,2016-08-04,"alive","MAIN;A",1,"A",20670
"26",120,159,"100105","100105","OCOLEU","1021",181.75,410.41,578697,6,64,"1.3",1.3,2016-08-04,"alive","MAIN;A",1,"A",20670
"27",121,NA,"100106",NA,"CORBOR","1021",180.92,410.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"28",122,NA,"100107",NA,"ALCLAT","1021",180.93,410.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"29",130,169,"100114","100114","OCOLEU","1021",180.57,409.14,578682,6,57,"1.4",1.4,2016-08-04,"alive","MAIN;A",1,"A",20670
"30",131,NA,"100115",NA,"PSYBRA","1021",180.58,408.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"31",132,NA,"100116",NA,"PSYBRA","1021",180.36,407.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"32",133,NA,"100117",NA,"PSYBRA","1021",180.6,408.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"33",134,NA,"100118",NA,"MICIMP","1021",181.6,407.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"34",137,176,"100120","100120","OCOLEU","1021",182.48,406.99,578683,6,NA,NA,NA,2016-08-04,"broken below","MAIN;A;LS;B",1,"A",20670
"35",140,179,"100123","100123","MYRDEF","1021",183.58,406.41,578684,6,23,"1.3",1.3,2016-08-04,"alive","MAIN;A",1,"A",20670
"36",141,180,"100124","100124","OCOLEU","1021",183.54,406.25,578685,6,48,"1.3",1.3,2016-08-04,"alive","MAIN;A",2,"A",20670
"37",142,NA,"100125",NA,"MYRSPL","1021",180.45,405.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"38",144,183,"100131","100131","BYRSPI","1021",180.84,401.26,578674,6,58,"1.3",1.3,2016-08-04,"alive","MAIN;A",1,"A",20670
"39",150,189,"100137","100137","CASARB","1021",181.48,400.78,578675,6,NA,NA,NA,2016-08-04,"dead","MAIN;DEADT;ST",1,"D",20670
"40",154,NA,"100141",NA,"CASARB","1021",184.3,400.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"41",155,NA,"100142",NA,"PSYBRA","1021",184.32,401.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"42",157,197,"100144","100144","CASARB","921",161.47,410.66,617061,6,NA,NA,NA,2016-08-04,"stem dead","MAIN;A;LS;DP;ST",1,"A",20670
"43",159,NA,"100147",NA,"CECSCH","921",160.76,409.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"44",160,200,"100148","100148","CASARB","921",160.21,412.39,617062,6,52.1,"1.3",1.3,2016-08-04,"alive","MAIN;A",1,"A",20670
"45",161,201,"100149","100149","SCHMOR","921",160.13,411.24,617063,6,95,"1.3",1.3,2016-08-04,"alive","MAIN;A",1,"A",20670
"46",164,204,"100151","100151","SCHMOR","921",160.67,408.27,617041,6,153,"1.4",1.4,2016-08-04,"alive","MAIN;A",1,"A",20670
"47",166,114071,"100153","157309","COFARA","921",160.68,407.23,617055,6,18.2,"1.3",1.3,2016-08-04,"alive","SPROUT;A",3,"A",20670
"48",169,209,"100157","100157","PREMON","921",161.76,407.04,617043,6,143,"1.35",1.35,2016-08-04,"alive","MAIN;A",1,"A",20670
"49",170,NA,"100158",NA,"CECSCH","921",162.48,406.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"50",173,NA,"100162",NA,"CECSCH","921",160.57,405.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"51",174,NA,"100164",NA,"PSYBRA","921",162.49,405.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"52",175,216,"100166","100166","CECSCH","921",160.61,409.3,617044,6,NA,NA,NA,2016-08-04,"dead","MAIN;DEADT;ST",1,"D",20670
"53",177,218,"100168","100168","CASSYL","921",163.53,409.82,617045,6,42.6,"1.3",1.3,2016-08-04,"alive","MAIN;A",1,"A",20670
"54",179,NA,"100170",NA,"CASARB","921",162.75,409.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"55",180,225,"100171","100174","CASARB","921",164.61,409.5,617049,6,46.1,"1.35",1.34,2016-08-04,"alive","SPROUT;A",2,"A",20670
"56",181,226,"100172","100172","CASARB","921",164.61,409.33,617047,6,NA,NA,NA,2016-08-04,"dead","MAIN;DEADT;B",2,"D",20670
"57",188,NA,"100184",NA,"SCHMOR","921",164.26,408.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"58",198,248,"100197","100197","MANBID","921",164.11,405.6,617050,6,101,"1.3",1.3,2016-08-04,"alive","MAIN;A",1,"A",20670
"59",200,250,"100199","100199","SCHMOR","921",163.64,405.37,617051,6,228,"1.15",1.17,2016-08-04,"alive","MAIN;A",1,"A",20670
"60",203,253,"100200","100200","SCHMOR","921",163.88,405.06,617052,6,NA,NA,NA,2016-08-04,"dead","MAIN;DEADT",1,"D",20670
"61",204,254,"100202","100202","SCHMOR","921",163.41,404.19,617032,6,224,"1.25",1.25,2016-08-04,"alive","MAIN;A",1,"A",20670
